teks,sumber,sentimen
Rupiah terus melemah terhadap dolar hingga menyentuh Rp 18,Media (Detik),neutral
153 per Senin (8/6/2026),Media (Detik),neutral
Kondisi melemahnya rupiah ini mengingatkan akan masa krisis moneter pada 1998,Media (Detik),neutral
"Pasalnya, nilai tukar rupiah terhadap dolar pada masa itu sempat menyentuh angka tertinggi Rp 16",Media (Detik),neutral
"Padahal pada kurun 1990-an, nilai tukar rupiah berada di kisaran Rp 2",Media (Detik),neutral
000 per dolar Amerika Serikat,Media (Detik),neutral
"Ini berarti pada 1998, pelemahan rupiah bisa mencapai Rp 14",Media (Detik),neutral
"Secara umum, krisis moneter didefinisikan sebagai kondisi terganggunya pasar keuangan",Media (Detik),neutral
"Kondisi ini terjadi akibat krisis finansial Asia pada 1997 yang membuat banyak investor akhirnya menarik modal dari negara berkembang, termasuk Indonesia",Media (Detik),neutral
"SCROLL TO CONTINUE WITH CONTENT Di Indonesia sendiri, krisis ini terpicu juga oleh adanya pergeseran kekuasaan politik dan sosial",Media (Detik),neutral
"Pada masa itu, pergeseran kekuasaan politik memicu timbulnya persoalan utang dan sistem perbankan",Media (Detik),neutral
"Bahkan, dampak krisis tersebut membuat rupiah merosot sangat tajam",Media (Detik),negative
"Pada akhir 1997, kurs rezim Presiden Soeharto mulai naik dari kisaran Rp 2",Media (Detik),neutral
"Kemudian pada awal 1998, kembali naik ke Rp 6",Media (Detik),neutral
000 hingga sempat menyentuh Rp 13,Media (Detik),neutral
"000, demikian dikutip detikFinance",Media (Detik),neutral
"Namun, pada April 1998, turun ke Rp 8",Media (Detik),neutral
"Memasuki Mei 1998, situasi politik dan sosial era rezim Presiden Soeharto memasuki periode kelam",Media (Detik),neutral
"Terjadi penembakan mahasiswa, kerusuhan massa, dan kejatuhan Orde Baru",Media (Detik),neutral
Kondisi tersebut membuat rupiah melemah secara drastik,Media (Detik),neutral
"Puncaknya pada Juni 1998, rupiah menyentuh Rp 16",Media (Detik),neutral
"Berakhirnya era Soeharto, membuat pemerintahan Presiden BJ Habibie dimulai dengan krisis ekonomi terburuk",Media (Detik),neutral
"Kala itu, krisis moneter mengakibatkan inflasi tinggi, harga kebutuhan pokok naik, dan banyak perusahaan bangkrut karena utang luar negeri",Media (Detik),neutral
"Namun, Habibie sanggup membuat ekonomi Indonesia perlahan membaik",Media (Detik),positive
"Dalam buku biografi Bacharudin Jusuf Habibie, nilai tukar rupiah perlahan menguat hingga berada di kisaran Rp 6",Media (Detik),neutral
"Mengutip detikJatim, Habibie melakukan sejumlah upaya untuk menguatkan rupiah, dengan cara: 1",Media (Detik),neutral
Menyelamatkan sektor perbankan dengan restrukturisasi dan rekapitulasi,Media (Detik),neutral
Pemerintah juga membentuk Badan Penyehatan Perbankan Nasional (BPPN) untuk menangani aset dan utang perbankan yang bermasalah,Media (Detik),neutral
Menjamin simpanan masyarakat di bank dengan mempertahankan program blanket guarantee,Media (Detik),neutral
Melanjutkan kerja sama dengan International Monetary Fund (IMF) untuk mempercepat pemulihan ekonomi,Media (Detik),neutral
Indonesia mendapatkan dukungan finansial serta tambahan kepercayaan dari pasar internasional,Media (Detik),neutral
Menekan inflasi dan menjaga distribusi bahan pokok agar harga di pasar tidak melonjak,Media (Detik),neutral
"Dengan cara ini, Habibie berhasil menekan inflasi dari 77% pada 1998 menjadi 2% pada Januari-September 1999",Media (Detik),neutral
Mengembalikan kepercayaan investor dan pasar saham,Media (Detik),neutral
Habibie juga mendorong independensi Bank Indonesia melalui UU Bank Indonesia agar kebijakan moneter lebih profesional dan tidak terlalu dipengaruhi oleh kepentingan politik,Media (Detik),neutral
"Pakar Ekonomi dari Universitas Muhammadiyah Surabaya, Fatkur Huda, mengatakan bahwa nilai tukar rupiah yang melemah terhadap dolar bisa memberi dampak tidak langsung kepada masyarakat",Media (Detik),neutral
"Dalam hal ini, katanya, masyarakat di pedesaan juga akan terdampak",Media (Detik),neutral
"""Nilai tukar rupiah yang menurun tetap memengaruhi harga berbagai kebutuhan pokok karena banyak sektor ekonomi Indonesia masih bergantung pada barang impor dan harga global,"" ucapnya, dikutip dari laman UM Surabaya, Senin (8/6/2026)",Media (Detik),neutral
"Bahkan dampak ini bisa nyata dirasakan oleh kelompok masyarakat seperti pelaku UMKM, nelayan, hingga petani",Media (Detik),neutral
"Mereka akan merasakan adanya kenaikan harga BBM, bahan baku plastik, pupuk, pakan ternak, hingga biaya produksi",Media (Detik),neutral
"Menurut Fatkur, saat bahan baku ada yang naik, pendapatan masyarakat di desa belum tentu meningkat",Media (Detik),neutral
Ini yang akhirnya membuat daya beli masyarakat menurun,Media (Detik),negative
"""Dalam jangka panjang, kondisi ini dapat menurunkan daya beli masyarakat dan memperbesar tekanan ekonomi masyarakat kecil,"" jelasnya",Media (Detik),neutral
"Sementara itu, Pakar Ekonomi Fakultas Ekonomi dan Bisnis (FEB) Universitas Airlangga (Unair), Prof Dr Imron Mawardi S P M Si, menjelaskan bahwa melemahnya rupiah menyebabkan harga barang dan produksi dalam negeri meningkat, yang pada gilirannya memicu inflasi",Media (Detik),neutral
"Namun, menurutnya Indonesia masih memiliki pasar yang besar dan daya tarik yang kuat",Media (Detik),positive
"Dalam hal ini, ia menyoroti peran pemerintah dan Bank Indonesia (BI) dalam menjaga stabilitas rupiah, terutama untuk menjaga kestabilan nilai tukar rupiah",Media (Detik),neutral
"""Pemerintah harus mendorong ekspor dan menarik investasi asing dengan cara yang lebih terstruktur",Media (Detik),neutral
"Sementara BI perlu melakukan intervensi untuk menjaga kestabilan nilai tukar rupiah di jangka pendek,"" tutur Prof Imron, dikutip dari laman resmi Unair",Media (Detik),neutral
Harga emas Antam hari ini mengalami kenaikan dibandingkan perdagangan sebelumnya,Media (Detik),neutral
Harga emas Antam 24 karat naik Rp 5,Media (Detik),neutral
000 per gram menjadi Rp 2,Media (Detik),neutral
